"Year","Gender","Class","Name","Mark","Event","State"
1995,"Girls","A","Jamie McAllister    Omaha Benson        ","12.35","100m","Nebraska"
1995,"Girls","A","Kendee Koster        Kearney             ","2:16.62","800m","Nebraska"
1995,"Girls","A","Melissa Wilson      Scottsbluff        ","5:06.44","1600m","Nebraska"
1995,"Girls","A","Kelly Cizek          Millard South         ","5-08","High Jump","Nebraska"
1995,"Girls","B","Camille Hinze      Albion               ","12.51","100m","Nebraska"
1995,"Girls","B","Phoebe Wilson      Wahoo                ","2:18.85","800m","Nebraska"
1995,"Girls","B","Jenny Arends       Albion              ","5:22.65","1600m","Nebraska"
1995,"Girls","B","Heidi Geier        Omaha Roncalli         ","5-09","High Jump","Nebraska"
1995,"Girls","C","Jennifer Einspahr      Wauneta/Palisade       ","12.57","100m","Nebraska"
1995,"Girls","C","Jodi Dubs           David City             ","2:18.02","800m","Nebraska"
1995,"Girls","C","Amber Faibanks         Geneva                ","5:18.33","1600m","Nebraska"
1995,"Girls","C","Tina Masek          Wahoo Neumann           ","5-05","High Jump","Nebraska"
1995,"Girls","D","Julie Harms           Dodge               ","12.70","100m","Nebraska"
1995,"Girls","D","Darcy Stracke        Chambers              ","2:19.71","800m","Nebraska"
1995,"Girls","D","Darcy Stracke         Chambers           ","5:16.92","1600m","Nebraska"
1995,"Girls","D","Tonya Kneifl        Newcastle               ","5-04","High Jump","Nebraska"
1995,"Girls","D","Julie Bargen        Nelson                  ","5-03","High Jump","Nebraska"
1995,"Boys","A","Ahman Green            Omaha Central       ","10.61","100m","Nebraska"
1995,"Boys","A","Cortney Lamb       Lincoln Southeast   ","1:54.73","800m","Nebraska"
1995,"Boys","A","Cortney Lamb           Lincoln Southeast  ","4:20.31","1600m","Nebraska"
1995,"Boys","A","Bryan Schwartz     Lincoln Pius X      ","6-11.5","High Jump","Nebraska"
1995,"Boys","A","Scott Nachtigal    Kearney             ","14-08","Pole Vault","Nebraska"
1995,"Boys","A","Mike Lewis        Fremont         ","13-06","Pole Vault","Nebraska"
1995,"Boys","A","Dan Ringlein      Millard South   ","13-06","Pole Vault","Nebraska"
1995,"Boys","B","Kenton Peterson     Beatrice             ","11.11","100m","Nebraska"
1995,"Boys","B","Anthony Alt         Waverly              ","1:58.00","800m","Nebraska"
1995,"Boys","B","Anthony Alt         Waverly             ","4:20.15","1600m","Nebraska"
1995,"Boys","B","Joe Dickerson     Platteview            ","6-07","High Jump","Nebraska"
1995,"Boys","B","Brian Kroese      Tri County            ","6-02","High Jump","Nebraska"
1995,"Boys","B","Chad Frisbie         York           ","14-02","Pole Vault","Nebraska"
1995,"Boys","C","Seth Turman          Wahoo Neumann          ","11.15","100m","Nebraska"
1995,"Boys","C","Tom Nelson         Ponca                  ","1:56.40","800m","Nebraska"
1995,"Boys","C","Matt Wiltse          Lyons-Decatur         ","4:25.93","1600m","Nebraska"
1995,"Boys","C","Josh Long          Arapahoe                 ","6-08","High Jump","Nebraska"
1995,"Boys","C","Phillip Kroese     Wisner-Pilger     ","14-00","Pole Vault","Nebraska"
1995,"Boys","D","Dustin Wilke       McPherson County   ","11.23","100m","Nebraska"
1995,"Boys","D","Ryan Bedlan        Shickley           ","1:59.57","800m","Nebraska"
1995,"Boys","D","Joe Cooper         South Platte      ","4:30.64","1600m","Nebraska"
1995,"Boys","D","Chris Isaacson   Loomis               ","6-05","High Jump","Nebraska"
1995,"Boys","D","Scott Moore        Alma               ","14-04.25","Pole Vault","Nebraska"
1996,"Girls","A","Ja'Nae' Mosley         Bellevue East       ",":12.17","100m","Nebraska"
1996,"Girls","A","Krissie Spanheimer     Omaha Marian                     ","2:17.01","800m","Nebraska"
1996,"Girls","A","Amie Finkner           Kearney            ","5:15.61","1600m","Nebraska"
1996,"Girls","A","Kelly Cizek            Millard South                      ","5-8","High Jump","Nebraska"
1996,"Girls","A","Laura Martin           Fremont                            ","5-7","High Jump","Nebraska"
1996,"Girls","A","Katie Johnson          Millard North                      ","5-5","High Jump","Nebraska"
1996,"Girls","A","Lisa Webster           Lincoln East                       ","5-5","High Jump","Nebraska"
1996,"Girls","A","Lindy Muhle            Columbus                           ","5-5","High Jump","Nebraska"
1996,"Girls","A","Megan Porter           Bellevue West                      ","5-2","High Jump","Nebraska"
NA,NA,NA,"Camille Hinze        Albion               ",":12.29","100m","Nebraska"
NA,NA,NA,"Amy Parsons          Plattsmouth                 ","2:20.93","800m","Nebraska"
NA,NA,NA,"Kathryn Handrup      Aurora              ","5:18.42","1600m","Nebraska"
