Year,Event,Class,Name,School,Mark
,,4A,Patrice Gates,Villa Rica Wildcats,"42' 11"""
,,3A,J'Quyra Moncur'Blue,Eastside Eagles,"41' 10"""
,,2A,Sara Talley,Gordon Central Warriors,"36' 10.5"""
,,1A,Holli Wilkins,Wesleyan Wolves,"38' 1"""
,Discus,5A,Emily Brewer,Brookwood Broncos,"130' 7"""
,,4A,Katie Bragg,Starr's Mill Panthers,"133' 9"""
,,3A,J'Quyra Moncur'Blue,Eastside Eagles,"126' 5"""
,,2A,Sara Talley,Gordon Central Warriors,"127' 0"""
,,1A,Brianna Jones,Whitefield Academy Wolfpack,"112' 3"""
,Wheelchair,Shot Put (Class 1),Audrey Seigler,Westside (Augusta) Patriots,"17' 1.5"""
,,200m,Christina Young,Kennesaw Mountain Mustangs,38.4
,,800m,Christina Young,Kennesaw Mountain Mustangs,02:25.9
2008,4x100m Relay,5A,"Tamala Daly, Tanish Dyess, Kennisha Holden, Decoshia Boswell",Redan Raiders,47.35
,,4A,"Kia Jackson, Dejia Ricks, Kenya Scott, Morgan Snow",Southwest DeKalb Panthers,46.97
,,3A,"Deanna Lee, Brittany Long, Santeria Moses, Jawanda King",Therrell Panthers,46.2
,,2A,"Kayla Parrish, Imani McCoy, Stephanie SCott, Brittany Lawton",Screven County Gamecocks,48.8
,,1A,"Brittany Hardrick, Arkendolyn Westbrook, Jac Keria Sanders, Cariesha Glover",Dooly County Bobcats,50.01
,1600m Run,5A,Amanda Winslow,Colllins Hill Eagles,04:48.4
,,4A,Kathleen LaPorte,St. Pius X Golden Lions,05:12.4
,,3A,Emily Reese,Chamblee Bulldogs,04:56.0
,,2A,Rebecca Greenwell,North Oconee Titans,05:15.1
,,1A,Whitney Bishoff,Athens Christian Eagles,05:12.0
,400m Dash,5A,Kennisha Holden,Redan Raiders,55.06
,,4A,Michelle Stegall,Starr's Mill Panthers,54.34
,,3A,Jawanda King,Therrell Panthers,55.81
,,2A,Chantel Kennedy,Wesleyan Wolves,59.71
,,1A,Megan Malasarte,Our Lady of Mercy Bobcats,57.37
,100m Dash,5A,Chalonda Goodman,Newnan Tigers,11.45
,,4A,Alycia Prior,Mt. Zion (Jonesboro) Bulldogs,11.75
,,3A,Brittany Long,Therrell Panthers,11.68
,,2A,Jasmine Grovenor,McIntosh County Academy Buccaneers,12.26
,,1A,Kim Johnson,Twiggs County Cobras,12.12
,100m Intermediate Hurdles,5A,Jasmine Edgerson,Campbell Spartans,14.2
,,4A,Paige Morton,Stockbridge Tigers,14.2
,,3A,Santerri Baker,Druid Hills Red Devils,14.19
,,2A,Annie Fletcher,Bleckley County Royals,15.48
,,1A,Christian McGuire,Landmark Christian War Eagles,15.29
,800m Run,5A,Nicky Akande,Collins Hill Eagles,02:16.0
,,4A,Audrey Wright,Lovejoy Wildcats,02:14.2
,,3A,Ann Centner,Oconee County Warriors,02:17.8
,,2A,Rebecca Greenwall,North Oconee Titans,02:23.4
,,1A,Megan Malasarte,Our Lady of Mercy Bobcats,02:19.8
,200m Dash,5A,Chalonda Goodman,Newnan Tigers,23.69
,,4A,Michelle Stegall,Starr's Mill Panthers,24.45
,,3A,Brittany Long,Therrell Panthers,24.08
,,2A,Shamira Barrett,Adairsville Tigers,25.31
,,1A,Kim Johnson,Twiggs County Cobras,25.41
,300m Low Hurdles,5A,Kennisha Holden,Redan Raiders,42.8
,,4A,Sonni Austin,Miller Grove Wolverines,42.98
,,3A,Santerri Baker,Druid Hills Red Devils,44.55
,,2A,Marnetta Lee,Josey Eagles,47.26
,,1A,Christian McGuire,Landmark Christian War Eagles,46.23
,3200m Run,5A,Amanda Winslow,Collins Hill Eagles,10:45.2
,,4A,Kathleen LaPorte,St. Pius X Golden Lions,11:24.5
,,3A,Emily Reese,Chamblee Bulldogs,10:32.0
,,2A,Rachel Greenwall,North Oconee Titans,11:16.3
,,1A,Whitney Bishoff,Athens Christian Eagles,11:09.0
,4x400m Relay,5A,"Decoshia Boswell, Soyong Smith, Kennisha Holden, Tanisha Dyess",Redan Raiders,03:51.1
,,4A,"Deonna Bailey, Dejia Ricks, Racquel Daly, Kia Jackson",Southwest DeKalb Panthers,03:53.7
,,3A,"Deanna Lee, Santeria Moses, Jawanda King, Brittany Long",Therrell Panthers,03:48.7
,,2A,"Laura Claire Whatley, Asi Asyamah, Kristianna Small-Towns, Malja Swann",Decatur Bulldogs,04:04.7
,,1A,"Kaity Bulger, Alysa Rambo, Lauren Toomer, Christian McGuire",Landmark Christian War Eagles,04:10.5
,High Jump,5A,Christie Leverette,Marietta Blue Devils,"5' 6"""
,,4A,Baiesha Johnson,Glynn Academy Red Terrors,"5' 4"""
,,3A,Veronica Bryant,Hardaway Hawks,"5' 4"""
,,2A,Anne Marie Armstrong,Wesleyan Wolves,"5' 2"""
,,1A,Cariesha Glover,Dooly County Bobcats,"5' 0"""
,Long Jump,5A,Kim Shealy,Kennesaw Mountain Mustangs,"10' 6"""
,,4A,Sara Sikes,Chapel HIll Panthers,"9' 6"""
,,3A,Mauri Peoples,Carrollton Trojans,"12' 0"""
,,2A,Bethany Wright,Rabun County Wildcats,"10' 0"""
,,1A,Anna Aube,Athens Christian Eagles,"9' 6"""
,Triple Jump,5A,Canesha Edwards,Newnan Tigers,"18' 11.5"""
,,4A,Pearlene Walker,Baldwin Braves,"18' 4.75"""
,,3A,Brittany Porter,Towers Titans,"19' 1.5"""
,,2A,Antquinita Reed,Early County Bobcats,"17' 5.5"""
,,1A,Candice Warthen,Warren County Blue Devils,"17' 11"""
,Pole Vault,5A,Anna Aube,Athens Christian (8-A),"9' 6.000"""
,,4A,Bethany Wright,Rabun County (8-AA),"10' 0.000"""
,,3A,Mauri Peoples,Carrollton (6-AAA),"12' 0.000"""
,,2A,Sara Sikes,Chapel Hill (5-AAAA),"9' 6.000"""
,,1A,Kim Shealy,Kennesaw Mountain (5-AAAAA),"10' 6.000"""
,Shot Put,5A,Lauren Chambers,Kell Longhorns,"46' 5.75"""
,,4A,Sara Talley,Gordon Central Warriors,"44' 2"""
,,3A,Patrice Gates,Villa Rica Wildcats,"41' 6"""
,,2A,Ashley Razey,Buford Wolves,"40' 5.5"""
,,1A,Kayla Buchanan,Bowdon Red Devils,"37' 4"""
,Discus,5A,Shabreka Carter,Tift County Blue Devils,"126' 0"""
,,4A,Eve Machovec,Dacula Falcons,"148' 9"""
,,3A,Patrice Gates,Villa Rica Wildcats,"118' 0"""
,,2A,Ashley Razey,Buford Wolves,"113' 2"""
,,1A,Shanice Stanley,Twiggs County Cobras,"117' 1"""
2007,4x100m Relay,5A,"Kala Brooks, Lesha Nichols, Sarah Omatayo, Breanna Hubbard",Mundy's Mill Tigers,46.93
,,4A,"Dejia Ricks, Deonna Bailey, jacqui Brown, Kia Jackson",Southwest DeKalb Panthers,47.83
,,3A,"Christine Henry, Jovelle Patterson, Porche Byrd, Chelsey Williams",North Atlanta Warriors,47.46
,,2A,"Tiara Cook, Brittany Jennings, Marnette Lee, Eleanor McClendon",Josey Eagles,49.24
,,1A,"Kellie Adams, Endya Jones, Ashley Kennedy, Myah Freeman",Claxton Tigers,49.59
,1600m Run,5A,Jackie Drouin,Collins Hill Eagles,04:49.7
,,4A,Emily Borsare,McIntosh Chiefs,05:02.1
,,3A,Emily Reese,Chamblee Bulldogs,04:48.5
,,2A,Haley Kolff,Holy Innocents' Golden Bears,05:07.8
,,1A,Whitney Bishoff,Athens Christian Eagles,05:12.0
,400m Dash,5A,Tanisha Dyess,M.L. King Lions,55.44
,,4A,Michelle Stegall,Starr's Mill Panthers,55.64
,,3A,Jawanda King,Therrell Panthers,56.21
,,2A,Antquinita Reed,Early County Bobcats,58.2
,,1A,Ashley Kennedy,Claxton Tigers,58.97
,100m Dash,5A,Chalonda Goodman,Newnan Tigers,11.75
,,4A,Bianca Tyson,Westlake Lions,11.75
,,3A,Brittany Long,Therrell Panthers,11.63
,,2A,India Boyd,Jefferson County Warriors,12.31
,,1A,Raven Moore,Our Lady of Mercy Bobcats,12.15
,100m Intermediate Hurdles,5A,Jasmine Edgerson,Campbell Spartans,14.05
,,4A,Paige Morton,Stockbridge Tigers,14.58
,,3A,Tamara Moore,Central (Carroll) Lions,15.02
,,2A,Bree Bennett,Decatur Bulldogs,14.22
,,1A,Christian McGuire,Landmark Christian War Eagles,15.71
,800m Run,5A,Brittany Hall,Meadowcreek Mustangs,02:11.5
,,4A,Amanda Montgomery,St. Pius X Golden Lions,02:19.5
,,3A,Jovelle Patterson,North Atlanta Warriors,02:20.1
,,2A,Haley Kolff,Holy Innocents' Golden Bears,02:19.8
,,1A,Kaity Bulger,Landmark Christian War Eagles,02:20.5
,200m Dash,5A,Chalonda Goodman,Newnan Tigers,23.95
,,4A,Bianca Tyson,Westlake Lions,24.28
,,3A,Brittany Long,Therrell Panthers,23.79
,,2A,India Boyd,Jefferson County Warriors,25.09
,,1A,Raven Moore,Our Lady of Mercy Bobcats,24.9
,300m Low Hurdles,5A,Porsche Holden,Redan Raiders,42.82
,,4A,Sonni Austin,Miller Grove Wolverines,43.68
,,3A,Nakela Jackson,Shaw Raiders,44.56
,,2A,Bree Bennett,Decatur Bulldogs,44.37
,,1A,Christian McGuire,Landmark Christian War Eagles,46.36
,3200m Run,5A,Jackie Drouin,Collins Hill Eagles,10:50.3
,,4A,Emily Borsare,McIntosh Chiefs,10:45.1
,,3A,Emily Reese,Chamblee Bulldogs,10:16.8
,,2A,Ashley Arnold,Bleckley County Royals,11:45.6
,,1A,Whitney Bishoff,Athens Christian Eagles,11:04.6
,4x400m Relay,5A,"Javan Gill, Amber Webster, Maderia Toatley, Jylisa Williams",Stephenson Jaguars,03:49.0
,,4A,"Chari Tucker, Erin Oliver, Melanie Fields, Sonni Austin",Miller Grove Wolverines,03:53.5
,,3A,"Deanna Lee, Santeria Moses, Jawanda King, Brittany Long",Therrell Panthers,03:47.3
,,2A,"Doria Miller, Charlayna Braxton, Winshanai Gandy, M.G. Gallagher",Lovett Lions,04:03.4
,,1A,"Katie Bishoff, Sarah Hohenberger, Megan Malasarte, Raven Moore",Our Lady of Mercy Bobcats,04:05.1
,High Jump,5A,Zandi Debowles,Pope Greyhounds,"5' 6"""
,,4A,Jalissa Dawson,Baldwin Braves,"5' 8"""
,,3A,Alikki Thomas,Towers Titans,"5' 8"""
,,2A,Anne Marie Armstrong,Wesleyan Wolves,"5' 6"""
,,1A,Shannon Coleman,Calhoun County Cougars,"5' 0"""
,Long Jump,5A,Lindsey Farr,North Forsyth Raiders,"11' 6"""
,,4A,Erica Penk,Dacula Falcons,"11' 6"""
,,3A,Nicole Polk,Oconee County Warriors,"10' 6"""
,,2A,Ann Sanguansri,Walker Wolverines,"10' 7"""
,,1A,Kaity Bulger,Landmark Christian War Eagles,"10' 0"""
,Triple Jump,5A,Kortney Thurman,McEachern Indians,"18' 11"""
,,4A,Pearlene Walker,Baldwin Braves,"19' 0"""
,,3A,Brittany Porter,Towers Titans,"18' 1.5"""
,,2A,Antquinita Reed,Early County Bobcats,"17' 8.5"""
,,1A,Latonia Lovett,Jenkins County Eagles,"18' 1.5"""
,Pole Vault,5A,Porsche Holden,Redan Raiders,"10' 0.000"""
,,4A,Angelia Nugent,Cedar Shoals Jaguars,"10' 7.000"""
,,3A,Jill Arthur,Chestatee War Eagles,"10' 6.000"""
,,2A,Alisha McGauley,Pierce County Bears,"11' 6.000"""
,,1A,Endya Jones,Claxton Tigers,"11' 6.000"""
,Shot Put,5A,Cairlin Jordan,Union Grove Wolverines,"44' 1"""
,,4A,Eve Machovec,Dacula Falcons,"44' 1"""
,,3A,Thanithia Billings,Carrollton Trojans,"43' 5"""
,,2A,Allison Horner,Lovett Lions,"39' 11.5"""
,,1A,Ashley Ball,Jenkins County Eagles,"39' 10"""
,Discus,5A,Julianna Smith,Berkmar Patriots,"122' 10"""
,,4A,Eve Machovec,Dacula Falcons,"129' 11"""
,,3A,Patrice Gates,Villa Rica Wildcats,"127' 5"""
,,2A,Andrea Ross,Morgan County Bulldogs,"106' 4"""
,,1A,Ikea Hooks,Treutlen County Vikings,"114' 10"""
2006,4x100m Relay,5A,"Tendai Hill, Tia Miller, Javan Gill, Joanna Atkins",Stephenson Jaguars,46.94
,,4A,"Deonna Bailey, Kia Jackson, Brittney Robbins, Dejia Ricks",Southwest DeKalb Panthers,48.38
,,3A,"Deanna Lee, Quaneshia Cleckley, Makiya Cargill, Brittany Long",Therrell Panthers,46.58
,,2A,"Cassandra Jones, Tamika Jones, Sharetta Evans, Martina Johnson",East Laurens Falcons,49.85
,,1A,"N'Dra Huff, Brittany Sewell, Kaylin Canup, Ayonsa Sanders",Commerce Tigers,49.85
,1600m Run,5A,Jackie Drouin,Collins Hill Eagles,04:55.9
,,4A,Emily Reese,Chamblee Bulldogs,05:02.9
,,3A,Emma Bussard,Carrollton Trojans,05:19.1
,,2A,Haley Kolff,Holy Innocents' Golden Bears,05:10.9
,,1A,Sarah Hohenberger,Our Lady of Mercy Bobcats,05:17.8
,400m Dash,5A,Joanna Atkins,Stephenson Jaguars,54.81
,,4A,Porche Byrd,North Atlanta Warriors,53.72
,,3A,Jasmine Dacus,Westlake Lions,55.74
,,2A,Chasity McPherson,Rockmart Yellow Jackets,58.2
,,1A,Callie Pottinger,Whitefield Academy Wolfpack,56.35
,100m Dash,5A,Chalonda Goodman,Newnan Tigers,11.9
,,4A,Taylor Davidson,St. Pius X Golden Lions,12.18
,,3A,Brittany Long,Therrell Panthers,11.53
,,2A,Shannon Wilson,Buford Wolves,12.29
,,1A,Raven Moore,Our Lady of Mercy Bobcats,12.34
,100m Intermediate Hurdles,5A,Nicole Okolo,Collins Hill Eagles,14.14
,,4A,Kristi Castlin,Chapel HIll Panthers,13.75
,,3A,Quaneshia Cleckley,Therrell Panthers,14.17
,,2A,Bree Bennett,Decatur Bulldogs,14.6
,,1A,Leigh Burton,Our Lady of Mercy Bobcats,14.02
,800m Run,5A,Brittany Hall,Meadowcreek Mustangs,02:08.6
,,4A,Racquel Daly,Southwest DeKalb Panthers,02:17.2
,,3A,Ayesha Famble,M.L. King Lions,02:20.2
,,2A,Haley Kolff,Holy Innocents' Golden Bears,02:19.4
,,1A,Sarah Hohenberger,Our Lady of Mercy Bobcats,05:17.8
,200m Dash,5A,Chalonda Goodman,Newnan Tigers,24.19
,,4A,Takeia Pinckney,Columbia Eagles,24.38
,,3A,Brittany Long,Therrell Panthers,23.99
,,2A,Shannon Wilson,Buford Wolves,25.25
,,1A,Raven Moore,Our Lady of Mercy Bobcats,25.6
,300m Low Hurdles,5A,Apryl Johnson,Marietta Blue Devils,44.3
,,4A,Kristi Castlin,Chapel HIll Panthers,43.38
,,3A,Jasmine Dacus,Westlake Lions,42.53
,,2A,Bree Bennett,Decatur Bulldogs,45.98
,,1A,Heather Hayes,Landmark Christian,46.12
,3200m Run,5A,Jackie Drouin,Collins Hill Eagles,10:38.0
,,4A,Emily Reese,Chamblee Bulldogs,10:33.3
,,3A,Emma Bussard,Carrollton Trojans,11:30.4
,,2A,Harriott Kelly,Lovett Lions,11:04.3
,,1A,Whitney Bishoff,Athens Christian Eagles,11:29.2
,4x400m Relay,5A,"Javan Gill, Tendai Hill, Vivian McCollum, Joanna Atkins",Stephenson Jaguars,03:46.5
,,4A,"Deonna Bailey, Kia Jackson, Brittney Robbins, Dejia Ricks",Southwest DeKalb Panthers,03:49.2
,,3A,"Deanna Lee, Jazmin Wright, Brittany Long, Quaneshia Cleckley",Therrell Panthers,03:50.5
,,2A,"Alexia Wynn, Bree Bennett, Erica Walker, Tierra Small",Decatur Bulldogs,04:02.7
,,1A,"Kelsey Knapp, Heather Hayes, Christian McGuire, Christian Hunnicutt",Landmark Christian War Eagles,04:00.4
,High Jump,5A,Morgan Jennings,Douglass (ATL) Astros,"5' 6"""
,,4A,Caroline Dickey,Eastside Eagles,"5' 7"""
,,3A,Shaquita Young,Oconee County Warriors,"5' 4"""
,,2A,Shaneka Lee,Screven County Gamecocks,"5' 6"""
,,1A,Cassie Huntley,Atlanta International Eagles,"5' 0"""
,Long Jump,5A,Erica Penk,Dacula Falcons,"10' 6"""
,,4A,Lindsey Farr,North Forsyth Raiders,"10' 0"""
,,3A,Kristi Phillips,Carrollton Trojans,"9'6"""
,,2A,Annalise Peters,Greater Atlanta Christian Spartans,"10' 0"""
,,1A,Laura Geronimo,Atlanta International Eagles,"10' 4"""
,Triple Jump,5A,Tynita Butts,Bradwell Institute Tigers,"18' 7"""
,,4A,Ana Oglesby,Cedar Shoals Jaguars,"18' 0.5"""
,,3A,Shaquita Young,Oconee County Warriors,"18' 6"""
,,2A,Kendra Sol,Early County Bobcats,"18' 10"""
,,1A,Leigh Burton,Our Lady of Mercy Bobcats,"17' 9.5"""
,Pole Vault,5A,Nicole Okolo,Collins Hill Eagles,"10'6"""
,,4A,Ana Oglesby,Cedar Shoals Jaguars,"10'0"""
,,3A,Quaneshia Cleckley,Therrell Panthers,"9'6"""
,,2A,Demestrise Anthony,Manchester Blue Devils,"10'0"""
,,1A,Leah Hampton,Atlanta International Eagles,"10'4"""
,Shot Put,5A,Kristen Smith,Sprayberry Yellow Jackets,"44' 0"""
,,4A,Yolanda Berryhill,Lee County Trojans,"39' 0"""
,,3A,Jasmine Woods,Monroe Area Purple Hurricanes,"38' 5"""
,,2A,Alexis Rogers,Holy Innocents' Golden Bears,"39' 1"""
,,1A,Ashley Bell,Jenkins County Eagles,"39' 2"""
,Discus,5A,Eve Machovec,Dacula Falcons,137' 10
,,4A,Ashley Shepherd,Habersham Central Raiders,"129'11"""
,,3A,Ebony Moore,Winder-Barrow Bulldogs,"122' 4"""
,,2A,Teannah Holland,Grady Grey Knights,"124' 9"""
,,1A,Hannah Allen,Our Lady of Mercy Bobcats,"108' 9"""
2005,4x100m Relay,5A,"Javonda Newbold, Michelle Marble, Kishelle Paul, Connie Watts",McEachern Indians,47.2
,,4A,"Kenika Weaver, Hope Oremegue, Whitney Smith, Kim House",North Springs Trojans,47.42
,,3A,"Ta'Shelya Bynum, TeArius Davis, Tierra Watts, Latricia Jackson",Monroe (Albany) Tornadoes,46.7
,,2A,"Erica Walker, Bree Bennett, Brittany Holden, Tierra Small",Decatur Bulldogs,49.08
,,1A,"Latonia Lovett, Allison Lloyd, Britney Thomas, Jitera Washington",Jenkins County Eagles,49.63
,1600m Run,5A,Taylor Adams,Sprayberry Yellow Jackets,05:02.9
,,4A,Emily Reese,Chamblee Bulldogs,04:54.7
,,3A,Emma Bussard,Carrollton Trojans,05:24.1
,,2A,Haley Kolff,Holy Innocents' Golden Bears,05:16.5
,,1A,Gabbie Pina,Schley County Wildcats,05:22.7
,400m Dash,5A,Joanna Atkins,Stephenson Jaguars,56.16
,,4A,Cherell Lawson,Mt. Zion (Jonesboro) Bulldogs,55.52
,,3A,Jasmine Dacus,Westlake Lions,55.22
,,2A,Porche Byrd,Cross Keys Indians,55.62
,,1A,Callie Pottinger,Landmark Christian War Eagles,55.62
,100m Dash,5A,Andrea Bussey,Wheeler Wildcats,11.98
,,4A,Estella Moore,Carver (Columbus) Tigers,12.2
,,3A,Brittany Long,Therrell Panthers,11.95
,,2A,Christy Brown,Holy Innocents' Golden Bears,12.24
,,1A,Alison Lloyd,Jenkins County Eagles,12.63
,100m Intermediate Hurdles,5A,Aleesha Barber,Redan Raiders,14.02
,,4A,Kristi Castlin,Chapel HIll Panthers,14.59
,,3A,Caroline Vaughn,Blessed Trinity Titans,14.28
,,2A,Bree Bennett,Decatur Bulldogs,14.57
,,1A,Leigh Ann Burton,Our Lady of Mercy Bobcats,15.46
,800m Run,5A,Brittany Hall,Meadowcreek Mustangs,02:14.1
,,4A,Ena Leufroy,Marist War Eagles,02:08.6
,,3A,Ayesha Famble,M.L. King Lions,02:19.8
,,2A,Megan Betts,Darlington Tigers,02:19.6
,,1A,Dorothy Todd,Athens Academy Spartans,02:24.5
,200m Dash,5A,Lauren Burns,Norcross Blue Devils,24.3
,,4A,Cherell Lawson,Mt. Zion (Jonesboro) Bulldogs,24.73
,,3A,Brittany Long,Therrell Panthers,24.21
,,2A,Christy Brown,Holy Innocents' Golden Bears,24.89
,,1A,Ciara Willis,Landmark Christian War Eagles,25.55
,300m Low Hurdles,5A,Aleesha Barber,Redan Raiders,42.45
,,4A,Kenika Weaver,North Springs Trojans,44.61
,,3A,Jasmine Dacus,Westlake Lions,43.38
,,2A,Stasia Kelly-Taylor,Greater Atlanta Christian Spartans,45.59
,,1A,Brittany Caudell,Jefferson Dragons,46.76
,3200m Run,5A,Jackie Drouin,Collins Hill Eagles,10:50.0
,,4A,Emily Reese,Chamblee Bulldogs,10:39.7
,,3A,Emma Bussard,Carrollton Trojans,11:32.1
,,2A,Haley Kolff,Holy Innocents' Golden Bears,11:10.9
,,1A,Gabbie Pina,Schley County Wildcats,11:27.2
,4x400m Relay,5A,"Javan Gill, Toni Moore, Tendai Hill, Joanna Atkins",Stephenson Jaguars,03:49.2
,,4A,"Kenika Weaver, Hope Oremegue, Whitney Smith, Kim House",North Springs Trojans,03:54.8
,,3A,"Keierrah Beasley, Jasmine Dacus, Bianca Tyson, Veronica Jackson",Westlake Lions,03:55.0
,,2A,"Brittany Holden, Bree Bennett, Erica Walker, Tierra Small",Decatur Bulldogs,04:03.7
,,1A,"Heather Hayes, Ciara Willis, Kaity Bulger, Christian McGuire",Landmark Christian War Eagles,04:03.3
,High Jump,5A,Tiffany Chavis,Pope Greyhounds,"5' 6"""
,,4A,Jewel May,Heritage (Conyers) Patriots,"5' 4"""
,,3A,Shaquita Young,Oconee County Warriors,"5' 4"""
,,2A,Shaneka Lee,Screven County Gamecocks,"5' 6"""
,,1A,Shalita Brooks,Jefferson Dragons,"5' 4"""
,Long Jump,5A,Erica Penk,Dacula Falcons,"11' 0"""
,,4A,Mauri Peoples,Northgate Vikings,"10' 0"""
,,3A,Kim Adams,White County Warriors,"9' 6"""
,,2A,Janna Brown,Bleckley County Royals,"10' 6"""
,,1A,Heather Hayes,Landmark Christian War Eagles,"11' 0"""
,Triple Jump,5A,Morgan Joseph,Riverdale Raiders,"18' 2.5"""
,,4A,Alisha Simmons,Greenbrier Wolfpack,"18' 8.5"""
,,3A,Veronica Jackson,Westlake Lions,"18' 0.5"""
,,2A,Christy Brown,Holy Innocents' Golden Bears,"18' 10.5"""
,,1A,Monique Sampson,Twiggs County Cobras,"17' 2"""
,Pole Vault,5A,Bobbie Davis,Marietta Blue Devils,"11'0"""
,,4A,Mellany Oglesby,Sandy Creek Patriots,"10'0"""
,,3A,Kiana Key,Westover Patriots,"9'6"""
,,2A,Stasia Kelly-Taylor,Greater Atlanta Christian Spartans,"10'6"""
,,1A,Angela Miller,Bryan County Redskins,"11'0"""
,Shot Put,5A,Emily Sanders,Sequoyah Chiefs,"44' 3"""
,,4A,Yolanda Berryhill,Lee County Trojans,"38' 6"""
,,3A,Chasity Williams,Columbus Blue Devils,"41' 0"""
,,2A,Allison Horner,Lovett Lions,"36' 11"""
,,1A,Natalie Milo,Bremen Blue Devils,"39' 4"""
,Discus,5A,Jasmine Jordan,Tift County Blue Devils,"144' 5"""
,,4A,Yolanda Berryhill,Lee County Trojans,"120' 0"""
,,3A,Thanithia Billings,Carrollton Trojans,"118' 4"""
,,2A,Amanda Spivy,Southeast Bulloch Yellow Jackets,"112' 2"""
,,1A,Brittany Caudell,Jefferson Dragons,"110' 0"""
,Wheelchair Shot Put,Open,Monique Bridgewater,Berkmar Patriots,"14' 7"""
2004,4x100m Relay,5A,"Aleesha Barber, Diamond Marks, Ocean Christian, Courtney Bryant",Redan Raiders,46.97
,,4A,"Alisha Simmons, April Bennett, Melissa Butler, Renee Jones",Greenbrier Wolfpack,48.02
,,3A,"Tashelya Bynum, Shequita Draper, Tierra Watts, Rashunda Luster",Monroe (Albany) Tornadoes,46.7
,,2A,"Christine Hollander, Taye Gordon, Jessica Parker, Jada Wilkins",Calhoun Yellow Jackets,49.66
,,1A,"Ciara Willis, Evette Holyfield, Lynette Fitts, Sierra Hill",Landmark Christian War Eagles,48.58
,1600m Run,5A,Jackie Drouin,Collins Hill Eagles,05:03.0
,,4A,Ena Leufroy,Marist War Eagles,04:59.0
,,3A,Jamila Young,Westover Patriots,05:23.8
,,2A,Haley Kolff,Holy Innocents' Golden Bears,05:16.1
,,1A,Gabbie Pina,Schley County Wildcats,05:18.7
,400m Dash,5A,Tia Perry,Riverdale Raiders,55.36
,,4A,Kim House,North Springs Trojans,56.13
,,3A,Antoinette Duncan,Carrollton Trojans,02:21.6
,,2A,Megan Betts,Darlington Tigers,59.61
,,1A,Ciara Willis,Landmark Christian War Eagles,56.05
,100m Dash,5A,Courtney Champion,Collins Hill Eagles,11.77
,,4A,Marcella Avery,Glenn Hills Spartans,11.95
,,3A,Lakecia Ealey,Westover Patriots,11.72
,,2A,Christy Brown,Holy Innocents' Golden Bears,12.39
,,1A,Alison Lloyd,Jenkins County Eagles,12.42
,100m Intermediate Hurdles,5A,Aleesha Barber,Redan Raiders,14.27
,,4A,Kristi Castlin,Chapel HIll Panthers,14.79
,,3A,Quaneshia Cleckley,Therrell Panthers,15.15
,,2A,Caroline Vaughn,Blessed Trinity Titans,14.93
,,1A,Sierra Hill,Landmark Christian War Eagles,14.37
,800m Run,5A,Brittany Robbins,Southwest DeKalb Panthers,02:13.7
,,4A,Ena Leufroy,Marist War Eagles,02:09.6
,,3A,Antoinette Duncan,Carrollton Trojans,02:21.6
,,2A,Whitney Dennis,Morgan County Bulldogs,02:21.6
,,1A,Jeanette Crawford,Brookstone Cougars,02:24.4
,200m Dash,5A,"Courtney Champion,",Collins Hill Eagles,23.84
,,4A,Marcella Avery,Glenn Hills Spartans,24.6
,,3A,Lakecia Ealey,Westover Patriots,23.94
,,2A,Christy Brown,Holy Innocents' Golden Bears,25.45
,,1A,Ciara Willis,Landmark Christian War Eagles,25.67
,300m Low Hurdles,5A,Tia Perry,Riverdale Raiders,43.33
,,4A,Amber Wilson,Gordon Central Warriors,43.83
,,3A,Quaneshia Cleckley,Therrell Panthers,45.53
,,2A,Caroline Vaughn,Blessed Trinity Titans,44.05
,,1A,Sierra Hill,Landmark Christian War Eagles,43.06
,3200m Run,5A,Shelley Taylor,Northwest Whitfield Bruins,11:09.3
,,4A,Kristen Johnson,Marist War Eagles,10:54.9
,,3A,Sarah Brown,Westminster Wildcats,11:44.3
,,2A,Haley Kolff,Holy Innocents' Golden Bears,11:10.6
,,1A,Gabbie Pina,Schley County Wildcats,12:21.0
,4x400m Relay,5A,"Centauria Olds, Nicole Davis, Morgan Joseph, Tia Perry",Riverdale Raiders,03:47.1
,,4A,"Kenika Weaver, Hope Usman, Whitney Smith, Kim House",North Springs Trojans,03:54.8
,,3A,"Cheris Fletcher, Meyosha Davis, Brittany Brown, Lakecia Ealey",Westover Patriots,03:52.7
,,2A,"Kim Isidahomen, Cassi Sticker, Stasia Kelly-Taylor, Annalise Peters",Greater Atlanta Christian Spartans,04:03.5
,,1A,"Lynette Fitts, Evette Holyfield, Sierra Hill, Ciara Willis",Landmark Christian War Eagles,03:55.3
,High Jump,5A,Jessie Nevitt,Kennesaw Mountain Mustangs,"5'4"""
,,4A,Katie Farnan,Alexander Cougars,"5' 4"""
,,3A,Rashunda Luster,Monroe (Albany) Tornadoes,"5' 7"""
,,2A,Tonya Grimes,Greene County Tigers,"5' 3"""
,,1A,Ana Jahannes,Savannah Country Day Hornets,"5' 4"""
,Long Jump,5A,Nicci Faires,Roswell Hornets,"11' 1.25"""
,,4A,Marquita Goings,Cedar Shoals Jaguars,"10' 6"""
,,3A,Kim Adams,White County Warriors,"10' 0"""
,,2A,Annalise Peters,Greater Atlanta Christian Spartans,"10' 6"""
,,1A,Heather Hayes,Landmark Christian War Eagles,"9' 7"""
